trial_id,model,seed,n_circles,n_cued,fps,speed_px_s,cued_letters,predicted_letters,exact_match,correct_count,precision,recall,error
791fbec5,qwen/qwen3.5-flash-02-23,3,2,1,4,70.0,A,A,True,True,1.0,1.0,
046c4cd1,qwen/qwen3.5-flash-02-23,2,2,1,4,70.0,B,B,True,True,1.0,1.0,
f3f11059,qwen/qwen3.5-flash-02-23,1,2,1,4,70.0,A,A,True,True,1.0,1.0,
3425a1e6,qwen/qwen3.5-flash-02-23,0,2,1,4,70.0,B,B,True,True,1.0,1.0,
741d8b9f,qwen/qwen3.5-flash-02-23,7,2,1,4,70.0,A,A,True,True,1.0,1.0,
76960b22,qwen/qwen3.5-flash-02-23,4,2,1,4,70.0,B,B,True,True,1.0,1.0,
1f2ddccd,qwen/qwen3.5-flash-02-23,8,2,1,4,70.0,A,A,True,True,1.0,1.0,
a6d3d1df,qwen/qwen3.5-flash-02-23,0,3,1,4,70.0,B,B,True,True,1.0,1.0,
caeba1d5,qwen/qwen3.5-flash-02-23,5,2,1,4,70.0,A,A,True,True,1.0,1.0,
25944707,qwen/qwen3.5-flash-02-23,6,2,1,4,70.0,B,B,True,True,1.0,1.0,
8ccf7354,qwen/qwen3.5-flash-02-23,9,2,1,4,70.0,A,B,False,True,0.0,0.0,
9e3f1a9d,qwen/qwen3.5-flash-02-23,3,3,1,4,70.0,A,A,True,True,1.0,1.0,
61c7deda,qwen/qwen3.5-flash-02-23,2,3,1,4,70.0,B,A,False,True,0.0,0.0,
f24d1733,qwen/qwen3.5-flash-02-23,5,3,1,4,70.0,B,B,True,True,1.0,1.0,
50d4d5e0,qwen/qwen3.5-flash-02-23,4,3,1,4,70.0,B,B,True,True,1.0,1.0,
de601547,qwen/qwen3.5-flash-02-23,6,3,1,4,70.0,C,C,True,True,1.0,1.0,
d5bd03a9,qwen/qwen3.5-flash-02-23,1,3,1,4,70.0,C,C,True,True,1.0,1.0,
d0f0a9ae,qwen/qwen3.5-flash-02-23,1,4,1,4,70.0,B,B,True,True,1.0,1.0,
5106aed3,qwen/qwen3.5-flash-02-23,0,4,1,4,70.0,B,B,True,True,1.0,1.0,
708957d2,qwen/qwen3.5-flash-02-23,2,4,1,4,70.0,C,C,True,True,1.0,1.0,
f6bb6663,qwen/qwen3.5-flash-02-23,8,3,1,4,70.0,C,C,True,True,1.0,1.0,
4424da06,qwen/qwen3.5-flash-02-23,7,3,1,4,70.0,C,C,True,True,1.0,1.0,
cdf61852,qwen/qwen3.5-flash-02-23,3,4,1,4,70.0,C,C,True,True,1.0,1.0,
390b4ba9,qwen/qwen3.5-flash-02-23,4,4,1,4,70.0,C,C,True,True,1.0,1.0,
67d3ea67,qwen/qwen3.5-flash-02-23,9,3,1,4,70.0,C,C,True,True,1.0,1.0,
677f5420,qwen/qwen3.5-flash-02-23,9,4,1,4,70.0,C,C,True,True,1.0,1.0,
8ba38c7c,qwen/qwen3.5-flash-02-23,5,4,1,4,70.0,B,C,False,True,0.0,0.0,
b4eefb80,qwen/qwen3.5-flash-02-23,0,5,1,4,70.0,E,E,True,True,1.0,1.0,
b0d380eb,qwen/qwen3.5-flash-02-23,8,4,1,4,70.0,A,A,True,True,1.0,1.0,
9f000bd7,qwen/qwen3.5-flash-02-23,7,4,1,4,70.0,D,D,True,True,1.0,1.0,
d8556c17,qwen/qwen3.5-flash-02-23,6,4,1,4,70.0,B,B,True,True,1.0,1.0,
df172064,qwen/qwen3.5-flash-02-23,1,5,1,4,70.0,E,E,True,True,1.0,1.0,
d23de978,qwen/qwen3.5-flash-02-23,3,5,1,4,70.0,C,A,False,True,0.0,0.0,
eee8074c,qwen/qwen3.5-flash-02-23,6,5,1,4,70.0,C,C,True,True,1.0,1.0,
b1625d2b,qwen/qwen3.5-flash-02-23,2,5,1,4,70.0,D,A,False,True,0.0,0.0,
d4c005a9,qwen/qwen3.5-flash-02-23,4,5,1,4,70.0,D,C,False,True,0.0,0.0,
d370445e,qwen/qwen3.5-flash-02-23,5,5,1,4,70.0,D,B,False,True,0.0,0.0,
c609be2a,qwen/qwen3.5-flash-02-23,0,6,1,4,70.0,E,E,True,True,1.0,1.0,
f5cfd619,qwen/qwen3.5-flash-02-23,7,5,1,4,70.0,B,B,True,True,1.0,1.0,
489f0b40,qwen/qwen3.5-flash-02-23,8,5,1,4,70.0,B,B,True,True,1.0,1.0,
4b36e3e8,qwen/qwen3.5-flash-02-23,2,6,1,4,70.0,E,E,True,True,1.0,1.0,
22c125bd,qwen/qwen3.5-flash-02-23,1,6,1,4,70.0,C,C,True,True,1.0,1.0,
3cb136e3,qwen/qwen3.5-flash-02-23,6,6,1,4,70.0,C,C,True,True,1.0,1.0,
e2981cb0,qwen/qwen3.5-flash-02-23,9,5,1,4,70.0,E,E,True,True,1.0,1.0,
79568e87,qwen/qwen3.5-flash-02-23,4,6,1,4,70.0,E,C,False,True,0.0,0.0,
5c1e5086,qwen/qwen3.5-flash-02-23,7,6,1,4,70.0,E,E,True,True,1.0,1.0,
b1d250c2,qwen/qwen3.5-flash-02-23,5,6,1,4,70.0,A,B,False,True,0.0,0.0,
edab5523,qwen/qwen3.5-flash-02-23,0,7,1,4,70.0,E,G,False,True,0.0,0.0,
0d110066,qwen/qwen3.5-flash-02-23,3,6,1,4,70.0,C,B,False,True,0.0,0.0,
39cc70a1,qwen/qwen3.5-flash-02-23,1,7,1,4,70.0,G,B,False,True,0.0,0.0,
e80197fd,qwen/qwen3.5-flash-02-23,8,6,1,4,70.0,B,B,True,True,1.0,1.0,
bc73220d,qwen/qwen3.5-flash-02-23,2,7,1,4,70.0,E,E,True,True,1.0,1.0,
bd1cf1f9,qwen/qwen3.5-flash-02-23,4,7,1,4,70.0,C,B,False,True,0.0,0.0,
15da80af,qwen/qwen3.5-flash-02-23,9,6,1,4,70.0,D,D,True,True,1.0,1.0,
c1278e9f,qwen/qwen3.5-flash-02-23,7,7,1,4,70.0,G,G,True,True,1.0,1.0,
bd1f657d,qwen/qwen3.5-flash-02-23,3,7,1,4,70.0,C,"D,E,F,X,Y",False,False,0.0,0.0,
b32a716b,qwen/qwen3.5-flash-02-23,5,7,1,4,70.0,D,D,True,True,1.0,1.0,
71450bbd,qwen/qwen3.5-flash-02-23,8,7,1,4,70.0,B,B,True,True,1.0,1.0,
787e2b57,qwen/qwen3.5-flash-02-23,2,8,1,4,70.0,D,,,,,,Response ended prematurely
a5364b84,qwen/qwen3.5-flash-02-23,3,8,1,4,70.0,C,C,True,True,1.0,1.0,
d6a138e0,qwen/qwen3.5-flash-02-23,6,7,1,4,70.0,C,D,False,True,0.0,0.0,
e5e75734,qwen/qwen3.5-flash-02-23,1,8,1,4,70.0,E,E,True,True,1.0,1.0,
f4a898ba,qwen/qwen3.5-flash-02-23,9,7,1,4,70.0,C,C,True,True,1.0,1.0,
5ef96719,qwen/qwen3.5-flash-02-23,0,8,1,4,70.0,H,D,False,True,0.0,0.0,
191cbc51,qwen/qwen3.5-flash-02-23,4,8,1,4,70.0,B,D,False,True,0.0,0.0,
d05138d3,qwen/qwen3.5-flash-02-23,8,8,1,4,70.0,A,A,True,True,1.0,1.0,
4c1cbd44,qwen/qwen3.5-flash-02-23,5,8,1,4,70.0,D,G,False,True,0.0,0.0,
a69f0905,qwen/qwen3.5-flash-02-23,6,8,1,4,70.0,D,F,False,True,0.0,0.0,
7b2698ac,qwen/qwen3.5-flash-02-23,7,8,1,4,70.0,G,"B,C,E,F,G,H,S,X,Y",False,False,0.1111111111111111,1.0,
7c049261,qwen/qwen3.5-flash-02-23,9,8,1,4,70.0,B,B,True,True,1.0,1.0,
